Nr;Kategorie;Titel;Beschreibung;Priorität;Status;Owner
20;Features;Regime-Label-Bibliothek;bull/bear/sideways, high/low vol – Score dynamisch gewichten.;;TODO;
21;News;Whitelist-Only-Modus;"Nur seriöse Domains; harte Blacklist für Clickbait.";;TODO;
22;News;Dedupe v2;"TF-IDF + Embedding-Cosine; beste Quelle wählen.";;TODO;
23;News;Velocity-Spikes;"Meldungen pro Stunde; Cooldown-Regel bei Spikes.";;TODO;
24;News;Novelty-Score;Neue Info vs. Wiederholung erkennen.;;TODO;
25;News;Event-Typisierung;M&A/Litigation/Guidance Heuristik-Labels.;;TODO;
26;News;Sentiment-Aggregation;Gewichtung nach Domain-Reputation & Frische.;;TODO;
27;News;Konfliktprüfung;Positives Sentiment vs. negativer Kurs – Vertrauen senken.;;TODO;
28;News;Mehrsprachigkeit;"DE/EN; Ticker-/Alias-Mapping verbessern.";;TODO;
29;News;Negations-/Sarkasmus-Filter;"Regelbasiert; säubert Sentiment.";;TODO;
30;News;Source-Drift-Monitor;Quellen mit Auffälligkeiten automatisch abwerten.;;TODO;
31;KI/ML;Meta-Labeling;Lopez de Prado – Falschsignale reduzieren.;;TODO;
32;KI/ML;Zwei-Stufen-Modelle;a) Signal-Validation, b) Return-Size (Regressor).;;TODO;
33;KI/ML;PurgedKFold+Embargo;"Embargo ≥ Label-Horizont; striktes CV ohne Leakage.";;TODO;
34;KI/ML;Walk-Forward-Plan;"3y/1y rollend; Out-of-time-Test verpflichtend.";;TODO;
35;KI/ML;Regularisierung/ES;Early-Stopping, robuste Generalisierung.;;TODO;
36;KI/ML;SHAP-Stabilität;Feature-Importance-Varianz als Ship-Kriterium.;;TODO;
37;KI/ML;Drift-Monitor;"Population/KS-Tests; degrade-to-rules bei Alarm.";;TODO;
38;KI/ML;Ensembling/Stacking;Kombination mehrerer Modelle.;;TODO;
39;KI/ML;Anomalie-Detektion;IsolationForest/Autoencoder gegen Fake-Moves/Datenfehler.;;TODO;
40;KI/ML;Kalibrierung;Platt/Isotonic für nutzbare ML-Probas.;;TODO;
41;Signale;Gating-Order fix;Filter → Signale → News → ML → Composite.;;TODO;
42;Signale;Hysterese;Entry ≥70, Exit <55 zur Flatterreduktion.;;TODO;
43;Signale;Konfliktmatrix;Regel vs. ML vs. News – Konfliktauflösung/Blockierung.;;TODO;
44;Signale;Score-Smoothing;EMA auf Composite ohne Zukunftsinfo.;;TODO;
45;Signale;Setup-Typisierung;Trend/Breakout/Reversal → unterschiedliche Exits.;;TODO;
46;Signale;Horizont-Profile;Kurz/Mittel/Lang getrennte Schwellen & Stops.;;TODO;
47;Portfolio;Fee-Gate dynamisch;Abhängig von Vola & erwarteter Haltedauer.;;TODO;
48;Portfolio;Volatility-Budget;"1/ATR + Mindestnotional; Caps für Sektor/Korrelation.";;TODO;
49;Portfolio;Spread-Proxy dynamisch;"Perzentile über N Tage; illiquide abwerten.";;TODO;
50;Portfolio;ATR-SL & Chandelier;"Initial SL=2×ATR; Trail=3×ATR; Break-even ab 1.2R.";;TODO;
51;Portfolio;TP-Leitern;1.5R/2R + Rest trailen lassen.;;TODO;
52;Portfolio;Exposure/Loss-Limits;Max-Exposure, Tages-/Wochenverlust-Limits.;;TODO;
53;Portfolio;Rebalance-Regeln;Zeit- oder Score-Delta-basiert.;;TODO;
54;Portfolio;EUR-Reporting;Konsistente EUR-Auswertung inkl. FX-Hinweis.;;TODO;
55;Portfolio;Batching;Transaktionen bündeln statt Bursts.;;TODO;
56;Backtests;vectorbt + backtesting.py;Portfolio & Einzeltitel – komplementär.;;TODO;
57;Backtests;Parameter-Stress;"Grid/Random; Plateau-Analyse.";;TODO;
58;Backtests;Monte-Carlo;Block-Resample 20–60 Tage für Tail-Risiken.;;TODO;
59;Backtests;Survivorship-Check;‚Lebende‘ vs. ‚alle jemals‘ – beides testen.;;TODO;
60;Backtests;Kosten immer aktiv;1 € Order, bps, Spread/Latenz-Proxy.;;TODO;
61;Backtests;Berichtsset;CAGR, Sharpe/Sortino, MaxDD, PF, Win-Rate, Rolling.;;TODO;
62;Backtests;Promotion-Kriterien;PF≥1.3, Sharpe≥0.9, Stable OOT – sonst No-Ship.;;TODO;
63;UI/UX;Dark-Theme & Badges;"Score/Regime-Badges; klare Farbsemantik.";;TODO;
64;UI/UX;Heatmap Drill-down;Detail-‚Warum‘ (Regeln + SHAP).;;TODO;
65;UI/UX;Top-Listen;"Tag/Woche/Monat; Top-15; Duplikate vermeiden.";;TODO;
66;UI/UX;Guardrails Settings;Limits, Defaults, Tooltips, Reset.;;TODO;
67;UI/UX;Warnbanner Fee-Gate;Hinweis bei zu kleinen Orders.;;TODO;
68;UI/UX;Journal Analytics;TR-CSV, P&L, Setup-Performance.;;TODO;
69;Betrieb;APScheduler;"EOD 22:00 CET; Intraday 10 min; Jobstore, Locks, Retry.";;TODO;
70;Betrieb;Idempotenz;"Checkpointing; Hashes; wiederholbare Läufe.";;TODO;
71;Betrieb;Logging;"Rotierende & JSON-Logs; Korrelations-ID je Lauf.";;TODO;
72;Betrieb;Self-Test-Seite;Ampel: Daten/Features/Modelle/FX frisch?;;TODO;
73;Betrieb;Ressourcen-Management;Batching bei großen Watchlists.;;TODO;
74;Governance;Secrets in .env;"Nie im Code; Rate-Limits beachten.";;TODO;
75;Governance;Rechtemodell;Bei Serverbetrieb Nutzerrollen definieren.;;TODO;
76;Governance;Disclaimer & Paper;"Paper-Trading als Default; Hinweise sichtbar.";;TODO;
77;Governance;Konfig-Hash;Reports enthalten Config- und Git-Hash.;;TODO;
78;Governance;Aufbewahrung;Logs/Reports mit Rotationspolicy.;;TODO;
79;Qualität;Unit-Tests;Indikatoren/Fees/P&L/FX/Score – Referenzabgleich.;;TODO;
80;Qualität;Integration/Load/Edge;"End-to-End Pipeline; Last; Delisting/Splits/Zeitzonen.";;TODO;
